id	en	ru	in	vi	pt	el	de	es	cs	it	pl	fr	zh	sw	hi	ar	ko	ja	uk
post_notifications	You also need to Turn on post notifications for a user inside the Twitter app. When the user tweets a post, this notification will be sent to your device. The Retweet app will then read the Twitter notification and perform the retweet & like action if enabled & available. You can turn on post notification for multiple users.	Вам также необходимо включить уведомления о публикации для пользователя в приложении Twitter. Когда пользователь написал в Твиттере, это уведомление будет отправлено на ваше устройство. Затем приложение Retweet будет прочитать уведомление Twitter и выполнить ретвит и лайк, если включено и доступно. Вы можете включить уведомление о почте для нескольких пользователей.	Anda juga perlu mengaktifkan pemberitahuan pos untuk pengguna di dalam aplikasi Twitter. Ketika pengguna tweet sebuah posting, pemberitahuan ini akan dikirim ke perangkat Anda. Aplikasi Retweet kemudian akan membaca pemberitahuan Twitter dan melakukan tindakan retweet & suka jika diaktifkan & tersedia. Anda dapat mengaktifkan pemberitahuan posting untuk banyak pengguna.	Bạn cũng cần bật thông báo bài cho người dùng bên trong ứng dụng Twitter. Khi người dùng tweet một bài đăng, thông báo này sẽ được gửi đến thiết bị của bạn. Sau đó, ứng dụng retweet sẽ đọc thông báo Twitter và thực hiện retweet & giống như hành động nếu được bật & có sẵn. Bạn có thể bật thông báo bài cho nhiều người dùng.	Você também precisa ativar notificações de postagem para um usuário dentro do aplicativo do Twitter. Quando o usuário twittar uma postagem, essa notificação será enviada ao seu dispositivo. O aplicativo Retweet lerá a notificação do Twitter e executará o Retweet e o Ação Curtir, se ativado e disponível. Você pode ativar a notificação post para vários usuários.	Πρέπει επίσης να ενεργοποιήσετε τις ειδοποιήσεις ταχυδρομείου για έναν χρήστη μέσα στην εφαρμογή Twitter. Όταν ο χρήστης tweets μια ανάρτηση, αυτή η ειδοποίηση θα αποσταλεί στη συσκευή σας. Στη συνέχεια, η εφαρμογή Retweet θα διαβάσει την ειδοποίηση Twitter και θα εκτελέσει το Retweet & Like Action εάν είναι ενεργοποιημένη και διαθέσιμη. Μπορείτε να ενεργοποιήσετε την ειδοποίηση μετά την ειδοποίηση για πολλούς χρήστες.	Sie müssen auch Postbenachrichtigungen für einen Benutzer in der Twitter -App einstellen. Wenn der Benutzer einen Beitrag twittert, wird diese Benachrichtigung an Ihr Gerät gesendet. In der Retweet -App wird dann die Twitter -Benachrichtigung gelesen und die Retweet & Like -Aktion ausgeführt, falls aktiviert und verfügbar. Sie können die Postbenachrichtigung für mehrere Benutzer aktivieren.	También debe activar las notificaciones de publicaciones para un usuario dentro de la aplicación Twitter. Cuando el usuario tuitea una publicación, esta notificación se enviará a su dispositivo. La aplicación Retweet leerá la notificación de Twitter y realizará la acción retweet y me gusta si está habilitado y disponible. Puede activar la notificación posterior para múltiples usuarios.	Musíte také zapnout oznámení o pošpech pro uživatele uvnitř aplikace Twitter. Když uživatel tweetuje příspěvek, bude toto oznámení odesláno do vašeho zařízení. Aplikace Retweet si poté přečte oznámení Twitteru a provede retweet & jako akce, pokud je povolena a dostupná. Můžete zapnout oznámení o příspěvku pro více uživatelů.	È inoltre necessario attivare le notifiche post per un utente all'interno dell'app Twitter. Quando l'utente twitta un post, questa notifica verrà inviata al tuo dispositivo. L'app Retweet leggerà quindi la notifica di Twitter ed eseguirà l'azione Retweet & Like se abilitato e disponibile. È possibile attivare la notifica post per più utenti.	Musisz także włączyć powiadomienia postu dla użytkownika w aplikacji Twitter. Gdy użytkownik tweetuje post, to powiadomienie zostanie wysłane do urządzenia. Aplikacja retweetowa przeczyta powiadomienie na Twitterze i wykona akcję retweet i lubisz, jeśli jest włączona i dostępna. Możesz włączyć powiadomienie postu dla wielu użytkowników.	Vous devez également activer les notifications de publication pour un utilisateur dans l'application Twitter. Lorsque l'utilisateur tweete un message, cette notification sera envoyée à votre appareil. L'application RETWEET lira ensuite la notification Twitter et effectuera l'action Retweet & Like Si elle est activée et disponible. Vous pouvez activer la notification de publication pour plusieurs utilisateurs.	您还需要打开Twitter应用程序中用户的邮政通知。当用户发推文时，此通知将发送到您的设备。然后，转发应用程序将读取Twitter通知，并执行转发和喜欢的操作，如果启用并可用。您可以打开多个用户的邮政通知。	Unahitaji pia kuwasha arifa za posta kwa mtumiaji ndani ya programu ya Twitter. Wakati mtumiaji atatuliza chapisho, arifa hii itatumwa kwa kifaa chako. Programu ya Retweet basi itasoma arifa ya Twitter na kutekeleza hatua ya Retweet & Like ikiwa imewezeshwa na inapatikana. Unaweza kuwasha arifa ya posta kwa watumiaji wengi.	आपको ट्विटर ऐप के अंदर एक उपयोगकर्ता के लिए पोस्ट नोटिफिकेशन को चालू करना होगा। जब उपयोगकर्ता किसी पोस्ट को ट्वीट करता है, तो यह अधिसूचना आपके डिवाइस पर भेजी जाएगी। RETWEET ऐप तब ट्विटर नोटिफिकेशन पढ़ेगा और रिट्वीट और लाइक एक्शन को सक्षम करेगा यदि सक्षम और उपलब्ध हो। आप कई उपयोगकर्ताओं के लिए पोस्ट नोटिफिकेशन चालू कर सकते हैं।	تحتاج أيضًا إلى تشغيل إشعارات نشر للمستخدم داخل تطبيق Twitter. عندما يقوم المستخدم بتغريد منشور ، سيتم إرسال هذا الإشعار إلى جهازك. سيقوم تطبيق Retweet بعد ذلك بقراءة إشعار Twitter وإجراء إعادة تغريد وأعجب بالإجراء إذا تم تمكينه ومتاحًا. يمكنك تشغيل إشعار النشر لعدة مستخدمين.	또한 Twitter 앱 내부의 사용자에 대한 게시 알림을 켜야합니다. 사용자가 게시물을 트윗하면이 알림이 장치로 전송됩니다. 그런 다음 리트 윗 앱은 트위터 알림을 읽고 활성화 및 사용 가능한 경우 리트 윗 및 유사 조치를 수행합니다. 여러 사용자에 대한 게시 알림을 켜면 켜질 수 있습니다.	また、Twitterアプリ内のユーザーの投稿通知をオンにする必要があります。ユーザーが投稿をツイートすると、この通知がデバイスに送信されます。リツイートアプリは、Twitter通知を読み取り、RetWeet＆Like Actionを実行している場合は実行できます。複数のユーザーの投稿通知をオンにすることができます。	Вам також потрібно увімкнути сповіщення про публікацію для користувача всередині програми Twitter. Коли користувач твітує публікацію, це сповіщення буде надіслано на ваш пристрій. Потім додаток Retweet прочитає повідомлення Twitter та виконає ретвіт та як дію, якщо ввімкнено та доступно. Ви можете увімкнути сповіщення про повідомлення для декількох користувачів.
setup_complete	Setup Complete	Настройка завершена	Pengaturan Lengkap	Cài đặt hoàn thành	Configuração completa	Ολοκληρώθηκε η ρύθμιση	Setup vollständig	Instalación completa	Nastavení dokončeno	Configurazione completa	Konfiguracja kompletna	Configuration complète	设置完成	Usanidi kamili	सेटअप पूरा	الإعداد الكامل	설정 완료	完全なセットアップ	Налаштування завершено
setup_complete_info	Once you have completed the setup steps, you no longer need to do anything on the Retweet app. When a Twitter notification is received, the Retweet app will perform the desired functionality as per your settings.	После того, как вы выполните шаги настройки, вам больше не нужно делать что -либо в приложении ретвита. При получении уведомления в Твиттере приложение ретвита выполнит желаемую функциональность в соответствии с вашими настройками.	Setelah Anda menyelesaikan langkah pengaturan, Anda tidak perlu lagi melakukan apa pun di aplikasi Retweet. Ketika pemberitahuan Twitter diterima, aplikasi Retweet akan melakukan fungsionalitas yang diinginkan sesuai pengaturan Anda.	Khi bạn đã hoàn thành các bước thiết lập, bạn không còn cần phải làm bất cứ điều gì trên ứng dụng retweet. Khi nhận được thông báo Twitter, ứng dụng tweet sẽ thực hiện chức năng mong muốn theo cài đặt của bạn.	Depois de concluir as etapas de configuração, você não precisa mais fazer nada no aplicativo Retweet. Quando uma notificação no Twitter é recebida, o aplicativo Retweet executará a funcionalidade desejada de acordo com suas configurações.	Μόλις ολοκληρώσετε τα βήματα εγκατάστασης, δεν χρειάζεται πλέον να κάνετε τίποτα στην εφαρμογή Retweet. Όταν λαμβάνεται μια ειδοποίηση Twitter, η εφαρμογή Retweet θα εκτελέσει την επιθυμητή λειτουργικότητα σύμφωνα με τις ρυθμίσεις σας.	Sobald Sie die Setup -Schritte ausgeführt haben, müssen Sie in der Retweet -App nichts mehr ausführen. Wenn eine Twitter -Benachrichtigung empfangen wird, führt die Retweet -App die gewünschten Funktionen gemäß Ihren Einstellungen aus.	Una vez que haya completado los pasos de configuración, ya no necesita hacer nada en la aplicación Retweet. Cuando se recibe una notificación de Twitter, la aplicación Retweet realizará la funcionalidad deseada según su configuración.	Jakmile dokončíte kroky nastavení, již nemusíte nic dělat v aplikaci Retweet. Po přijetí oznámení Twitteru provede retweetová aplikace požadovaná funkce podle vašeho nastavení.	Una volta completati i passaggi di configurazione, non è più necessario fare nulla sull'app Retweet. Quando viene ricevuta una notifica di Twitter, l'app Retweet eseguirà la funzionalità desiderata secondo le tue impostazioni.	Po ukończeniu kroków konfiguracji nie musisz już nic robić w aplikacji retweetowej. Po otrzymaniu powiadomienia na Twitterze aplikacja retweetowa wykona pożądaną funkcjonalność zgodnie z twoimi ustawieniami.	Une fois que vous avez terminé les étapes de configuration, vous n'avez plus besoin de faire quoi que ce soit sur l'application Retweet. Lorsqu'une notification Twitter est reçue, l'application Retweet effectuera les fonctionnalités souhaitées conformément à vos paramètres.	完成设置步骤后，您将不再需要在转发应用程序上执行任何操作。当收到Twitter通知时，转发应用程序将根据您的设置执行所需功能。	Mara tu unapokamilisha hatua za usanidi, hauitaji tena kufanya chochote kwenye programu ya Retweet. Wakati arifa ya Twitter inapopokelewa, programu ya Retweet itafanya utendaji unaohitajika kulingana na mipangilio yako.	एक बार जब आप सेटअप चरण पूरा कर लेते हैं, तो आपको रिट्वीट ऐप पर कुछ भी करने की आवश्यकता नहीं है। जब एक ट्विटर अधिसूचना प्राप्त होती है, तो RETWEET ऐप आपकी सेटिंग्स के अनुसार वांछित कार्यक्षमता का प्रदर्शन करेगा।	بمجرد الانتهاء من خطوات الإعداد ، لم تعد بحاجة إلى القيام بأي شيء على تطبيق Retweet. عند تلقي إشعار Twitter ، سيقوم تطبيق Retweet بوظيفة الوظائف المطلوبة وفقًا لإعداداتك.	설정 단계를 완료 한 후에는 더 이상 리트 윗 앱에서 아무것도 할 필요가 없습니다. 트위터 알림이 접수되면 리트 윗 앱은 설정에 따라 원하는 기능을 수행합니다.	セットアップ手順を完了したら、リツイートアプリで何もする必要がなくなります。 Twitter通知が受信されると、リツイートアプリは設定に従って目的の機能を実行します。	Після того, як ви завершили кроки налаштування, вам більше не потрібно нічого робити в додатку Retweet. Коли буде отримано повідомлення в Twitter, додаток Retweet виконає потрібну функціональність відповідно до ваших налаштувань.
faq_title	FAQs	Часто задаваемые вопросы	FAQ	Câu hỏi thường gặp	Perguntas frequentes	Συχνές ερωτήσεις	FAQs	Preguntas frecuentes	Časté časté	FAQ	FAQ	FAQ	常见问题解答	Maswali	पूछे जाने वाले प्रश्न	الأسئلة الشائعة	FAQ	FAQ	Поширені запитання
stopped_title	Retweets stopped working	Ретвиты перестали работать	Retweet berhenti bekerja	Retweets ngừng hoạt động	Retweets pararam de funcionar	Οι retweets σταμάτησαν να λειτουργούν	Retweets funktionierten nicht mehr	Los retweets dejaron de funcionar	Retweety přestaly fungovat	I retweet hanno smesso di funzionare	Retweety przestały działać	Les retweets ont cessé de fonctionner	转发停止工作	Kurudisha nyuma kuliacha kufanya kazi	रीट्वीट ने काम करना बंद कर दिया	توقف التغريد عن العمل	리트 윗이 작동을 중단했습니다	リツイートは機能しなくなりました	Ретвіти перестали працювати
stopped_text	Some android devices may kill the Retweet app after some time. You will need to check it from time to time and re-enabling notification access when necessary.	Некоторые устройства Android могут убить приложение ретвита через некоторое время. Вам нужно будет время от времени проверять его и при необходимости повторно включать доступ уведомлений.	Beberapa perangkat Android dapat membunuh aplikasi Retweet setelah beberapa waktu. Anda perlu memeriksanya dari waktu ke waktu dan mengaktifkan kembali akses pemberitahuan bila perlu.	Một số thiết bị Android có thể tiêu diệt ứng dụng tweet sau một thời gian. Thỉnh thoảng bạn sẽ cần kiểm tra nó và kích hoạt lại quyền truy cập thông báo khi cần thiết.	Alguns dispositivos Android podem matar o aplicativo Retweet depois de algum tempo. Você precisará verificar de tempos em tempos e reativar o acesso à notificação quando necessário.	Ορισμένες συσκευές Android ενδέχεται να σκοτώσουν την εφαρμογή Retweet μετά από κάποιο χρονικό διάστημα. Θα χρειαστεί να το ελέγξετε από καιρό σε καιρό και να επαναλάβετε την πρόσβαση ειδοποίησης όταν είναι απαραίτητο.	Einige Android -Geräte können die Retweet -App nach einiger Zeit töten. Sie müssen es von Zeit zu Zeit überprüfen und den Benachrichtigungszugriff bei Bedarf wieder aufnehmen.	Algunos dispositivos Android pueden matar la aplicación Retweet después de un tiempo. Deberá verificarlo de vez en cuando y volver a habilitar el acceso a la notificación cuando sea necesario.	Některá zařízení Android mohou zabít aplikaci Retweet po nějaké době. Budete to muset čas od času zkontrolovat a v případě potřeby znovu zkontrolovat přístup k oznámení.	Alcuni dispositivi Android possono uccidere l'app Retweet dopo un po 'di tempo. Dovrai controllarlo di tanto in tanto e di rievocazione dell'accesso alla notifica quando necessario.	Niektóre urządzenia z Androidem mogą po pewnym czasie zabić aplikację retweetową. Od czasu do czasu będziesz musiał to sprawdzić i ponownie odbierać dostęp do powiadomień w razie potrzeby.	Certains appareils Android peuvent tuer l'application Retweet après un certain temps. Vous devrez le vérifier de temps à autre et réactiver l'accès à la notification si nécessaire.	一段时间后，某些Android设备可能会杀死转发应用程序。您需要不时检查它，并在必要时重新启用通知访问。	Vifaa vingine vya Android vinaweza kuua programu ya Retweet baada ya muda. Utahitaji kuiangalia mara kwa mara na kuwezesha ufikiaji wa arifa wakati inahitajika.	कुछ Android डिवाइस कुछ समय के बाद RETWEET ऐप को मार सकते हैं। आपको समय-समय पर इसे जांचने और आवश्यक होने पर अधिसूचना एक्सेस को फिर से सक्षम करने की आवश्यकता होगी।	قد تقتل بعض أجهزة Android تطبيق Retweet بعد بعض الوقت. ستحتاج إلى التحقق من ذلك من وقت لآخر وإعادة توجيه الوصول إلى الإخطار عند الضرورة.	일부 안드로이드 장치는 얼마 후 리트 윗 앱을 죽일 수 있습니다. 때때로 확인하고 필요할 때 알림 액세스를 다시 확인해야합니다.	一部のAndroidデバイスは、しばらくするとリツイートアプリを殺す可能性があります。必要に応じて、随時チェックし、通知アクセスを再認可する必要があります。	Деякі пристрої Android можуть через деякий час вбити додаток Retweet. Вам потрібно буде час від часу перевіряти його та повторно встановити доступ до сповіщення, коли це необхідно.
not_work_title	It doesn't work for me	Это не работает для меня	Itu tidak berhasil untuk saya	Nó không hiệu quả với tôi	Não funciona para mim	Δεν λειτουργεί για μένα	Es funktioniert bei mir nicht	No funciona para mi	Pro mě to nefunguje	Non funziona per me	To nie działa dla mnie	Ça ne marche pas pour moi	它对我不起作用	Haifanyi kazi kwangu	यह मेरे लिए काम नहीं करता है	لا يعمل لي	그것은 나를 위해 작동하지 않습니다	それは私にとってはうまくいきません	Це не працює для мене
not_work_text	As mentioned above, the app is not guaranteed to work on all devices.This is not something we have control over.	Как упоминалось выше, приложение не гарантированно будет работать на всех устройствах. Это не то, что мы контролируем.	Seperti disebutkan di atas, aplikasi ini tidak dijamin akan bekerja pada semua perangkat. Ini bukan sesuatu yang kami kendalikan.	Như đã đề cập ở trên, ứng dụng không được đảm bảo hoạt động trên tất cả các thiết bị. Đây không phải là thứ chúng tôi có quyền kiểm soát.	Como mencionado acima, não é garantido que o aplicativo funcione em todos os dispositivos. Isso não é algo sobre o qual temos controle.	Όπως αναφέρθηκε παραπάνω, η εφαρμογή δεν είναι εγγυημένη για να λειτουργεί σε όλες τις συσκευές. Αυτό δεν είναι κάτι που έχουμε τον έλεγχο.	Wie oben erwähnt, funktioniert die App nicht garantiert auf allen Geräten. Dies ist nicht, worüber wir die Kontrolle haben.	Como se mencionó anteriormente, no se garantiza que la aplicación funcione en todos los dispositivos. Esto no es algo sobre lo que tenemos control.	Jak je uvedeno výše, aplikace není zaručena, že bude fungovat na všech zařízeních. To není něco, o čem máme kontrolu.	Come accennato in precedenza, l'app non è garantita per lavorare su tutti i dispositivi. Questo non è qualcosa su cui abbiamo il controllo.	Jak wspomniano powyżej, aplikacja nie gwarantuje pracy na wszystkich urządzeniach. To nie jest coś, nad czym mamy kontrolę.	Comme mentionné ci-dessus, l'application n'est pas garantie de fonctionner sur tous les appareils. Ce n'est pas quelque chose que nous contrôlons.	如上所述，该应用程序不能保证在所有设备上都可以使用。这不是我们控制的。	Kama ilivyoelezwa hapo juu, programu haijahakikishiwa kufanya kazi kwenye vifaa vyote. Hii sio kitu tunachodhibiti.	जैसा कि ऊपर उल्लेख किया गया है, ऐप को सभी उपकरणों पर काम करने की गारंटी नहीं है। यह कुछ ऐसा नहीं है जिस पर हमारा नियंत्रण है।	كما ذكر أعلاه ، لا يضمن التطبيق العمل على جميع الأجهزة. هذا ليس شيئًا نتحكم فيه.	위에서 언급했듯이 앱이 모든 장치에서 작동하도록 보장되는 것은 아니며, 이는 우리가 통제 할 수있는 것이 아닙니다.	上記のように、アプリはすべてのデバイスで動作することが保証されていません。これは私たちが制御しているものではありません。	Як було сказано вище, додаток не гарантовано працює над усіма пристроями. Це не те, над чим ми маємо контроль.
tagline	Stay Active	Оставайся активным	Tetap aktif	Duy trì hoạt động	Fique ativo	Μείνε ενεργός	Bleibe aktiv	Mantenerse activo	Zůstaň aktivní	Rimani attivo	Pozostań aktywny	Rester actif	保持活跃	Kaa hai	सक्रिय रहो	ابق نشيطًا	활동적인 상태를 유지하십시오	アクティブを維持します	Залишайтеся активними
read	I have read and agree to	Я читал и согласен	Saya telah membaca dan menyetujui	Tôi đã đọc và đồng ý	Eu li e concordo em	Έχω διαβάσει και συμφωνώ	Ich habe gelesen und zugestimmt	He leído y aceptado	Četl jsem a souhlasím	Ho letto e accetto	Przeczytałem i zgadzam się	J'ai lu et accepté	我已经阅读并同意	Nimesoma na kukubali	मैंने पढ़ा और सहमत हूं	لقد قرأت وأوافق على	나는 읽고 동의했다	私は読んで同意しました	Я читав і погоджуюся
and	and	и	Dan	Và	e	και	Und	y	a	E	I	et	和	na	और	و	그리고	そして	і
continue_text	Continue	Продолжать	Melanjutkan	Tiếp tục	Continuar	Να συνεχίσει	Weitermachen	Continuar	Pokračovat	Continua	Kontynuować	Continuer	继续	Endelea	जारी रखना	يكمل	계속하다	続く	Продовжувати
repost	Reposts	Репосты	Repost	Đăng lại	Repostos	Επαναλήψεις	Reposts	Rehacer	Reposts	Ripubblicare	Reposty	Republier	重新发布	Reposts	रेपोस्ट	إعادة النشر	다시 게시	再投稿	Репост
follows	Follows	Следует	Mengikuti	Theo sau	Segue	Ακολουθεί	Folgt	Seguimiento	Následuje	Segue	Następuje	Suit	跟随	Ifuatavyo	इस प्रकार है	يتبع	다음	続きます	Випливати
notification_permission_title	Notification Permissions	Разрешения уведомления	Izin Pemberitahuan	Quyền thông báo	Permissões de notificação	Δικαιώματα ειδοποίησης	Benachrichtigungsberechtigungen	Permisos de notificación	Oznámení o oznámení	Autorizzazioni di notifica	Uprawnienia powiadomień	Autorisation de notification	通知许可	Ruhusa za Arifa	अधिसूचना अनुमतियाँ	أذونات الإخطار	알림 권한	通知許可	Дозвіл на сповіщення
settings	Settings	Настройки	Pengaturan	Cài đặt	Configurações	Ρυθμίσεις	Einstellungen	Ajustes	Nastavení	Impostazioni	Ustawienia	Paramètres	设置	Mipangilio	समायोजन	إعدادات	설정	設定	Налаштування
test_notification	Test notification	Тестовое уведомление	Pemberitahuan tes	Thông báo kiểm tra	Notificação de teste	Ειδοποίηση δοκιμής	Testbenachrichtigung	Notificación de prueba	Testovací oznámení	Notifica di prova	Powiadomienie testowe	Notification de test	测试通知	Arifa ya mtihani	परीक्षण अधिसूचना	إخطار الاختبار	테스트 알림	テスト通知	Повідомлення про тестування
test	Test	Тест	Tes	Bài kiểm tra	Teste	Δοκιμή	Prüfen	Prueba	Test	Test	Test	Test	测试	Mtihani	परीक्षा	امتحان	시험	テスト	Тест
disable	Disable	Запрещать	Cacat	Vô hiệu hóa	Desativar	Καθιστώ ανίκανο	Deaktivieren	Desactivar	Deaktivovat	disattivare	Wyłączyć	Désactiver	禁用	Lemaza	अक्षम करना	إبطال	장애를 입히다	無効にします	Відключати
auto_repost	Auto-Repost	Авторепост	Repost otomatis	Tự động sửa chữa	Representar automático	Αυτόματο	Auto-Repost	Auto repost	Auto-repost	Auto-Repost	Auto-repost	Préposée automatique	自动替代	Auto-mapato	ऑटो-रिपोस्ट	التكرار التلقائي	자동 반영	オートレポスト	Авто-відновлення
auto_like	Auto-Like	Автоподобный	Seperti otomatis	Tự động giống như	Auto-como um automóvel	Αυτόματος	Automatisch	De forma automática	Automatické	Auto-simile	Automatyczne	De type automatique	类似自动	Kiotomatiki-kama	जैसे ऑटो	اعجاب ذاتي	자동 같은	オートのような	Автоматичний
auto_follow	Auto-Follow	Автопоход	Ikuti otomatis	Tự động theo doi	SOLUGO AUTOMÁRIO	Αυτόματος κύριος	Automatisch folgen	Auxiliar	Automatické	Seguire automatico	Auto-podlewa	Adapter automatiquement	自动遵循	Kufuata kiotomatiki	स्वतः अनुसरण	تتبع تلقائي	자동 팔로우	オートフォロー	Автомобільний
clear_all	Clear all notifications	Очистить все уведомления	Hapus semua pemberitahuan	Xóa tất cả các thông báo	Claro todas as notificações	Καθαρίστε όλες τις ειδοποιήσεις	Alle Benachrichtigungen löschen	Borrar todas las notificaciones	Vymažte všechna oznámení	Cancella tutte le notifiche	Wyczyść wszystkie powiadomienia	Effacer toutes les notifications	清除所有通知	Futa arifa zote	सभी सूचनाओं को साफ करें	مسح جميع الإخطارات	모든 알림을 지우십시오	すべての通知をクリアします	Очистіть усі сповіщення
okay	Okay	Хорошо	Oke	Đồng ý	OK	εντάξει	Okay	Bueno	dobře	Va bene	Dobra	D'accord	好的	Sawa	ठीक है	تمام	좋아요	わかった	Гаразд
agree_alert	You need to agree to the conditions	Вам нужно согласиться с условиями	Anda perlu menyetujui kondisi tersebut	Bạn cần đồng ý với các điều kiện	Você precisa concordar com as condições	Πρέπει να συμφωνήσετε με τους όρους	Sie müssen den Bedingungen zustimmen	Necesitas aceptar las condiciones	Musíte souhlasit s podmínkami	Devi accettare le condizioni	Musisz zgodzić się na warunki	Vous devez accepter les conditions	您需要同意条件	Unahitaji kukubaliana na masharti	आपको शर्तों से सहमत होने की आवश्यकता है	تحتاج إلى الموافقة على الشروط	조건에 동의해야합니다	条件に同意する必要があります	Вам потрібно погодитися на умови
complete_title	Setup Complete	Настройка завершена	Pengaturan Lengkap	Cài đặt hoàn thành	Configuração completa	Ολοκληρώθηκε η ρύθμιση	Setup vollständig	Instalación completa	Nastavení dokončeno	Configurazione completa	Konfiguracja kompletna	Configuration complète	设置完成	Usanidi kamili	सेटअप पूरा	الإعداد الكامل	설정 완료	完全なセットアップ	Налаштування завершено
complete_text	Welcome to the Retweet app. Retweeted tweets will appear here once the app receives notifications from Twitter	Добро пожаловать в приложение ретвита. Твиты ретвита появятся здесь, как только приложение получит уведомления из Twitter	Selamat datang di aplikasi Retweet. Tweet retweet akan muncul di sini setelah aplikasi menerima pemberitahuan dari twitter	Chào mừng bạn đến với ứng dụng retweet. Các tweet được chuyển tiếp sẽ xuất hiện ở đây khi ứng dụng nhận được thông báo từ Twitter	Bem -vindo ao aplicativo Retweet. Tweets retweetados aparecerão aqui assim que o aplicativo receber notificações do Twitter	Καλώς ήλθατε στην εφαρμογή Retweet. Τα retweeted tweets θα εμφανιστούν εδώ μόλις η εφαρμογή λάβει ειδοποιήσεις από το Twitter	Willkommen in der Retweet -App. Retweetete Tweets werden hier angezeigt, sobald die App Benachrichtigungen von Twitter erhält	Bienvenido a la aplicación Retweet. Los tweets retuiteados aparecerán aquí una vez que la aplicación reciba notificaciones de Twitter	Vítejte v aplikaci Retweet. Jakmile aplikace obdrží oznámení z Twitteru, zobrazí se zde retweetované tweety	Benvenuti nell'app Retweet. I tweet retweet appariranno qui una volta che l'app riceve notifiche da Twitter	Witamy w aplikacji Retweet. Tweetki ponownie pojawią się tutaj, gdy aplikacja otrzyma powiadomienia z Twittera	Bienvenue dans l'application Retweet. Les tweets retweetés apparaîtront ici une fois que l'application aura reçu les notifications de Twitter	欢迎使用转发应用程序。一旦应用程序从Twitter收到通知，转发推文将在此处出现	Karibu kwenye programu ya Retweet. Tweets zilizorudishwa zitaonekana hapa mara tu programu itakapopokea arifa kutoka kwa Twitter	RETWEET ऐप में आपका स्वागत है। एक बार ऐप ट्विटर से नोटिफिकेशन प्राप्त करने के बाद यहां ट्वीट किए गए ट्वीट दिखाई देंगे	مرحبًا بك في تطبيق Retweet. ستظهر التغريدات التي تم إعادة تغريدها هنا بمجرد أن يتلقى التطبيق إشعارات من Twitter	리트 윗 앱에 오신 것을 환영합니다. 앱이 트위터에서 알림을 받으면 리트 윗 트윗이 여기에 나타납니다.	リツイートアプリへようこそ。アプリがTwitterから通知を受信すると、リツイートされたツイートがここに表示されます	Ласкаво просимо до програми Retweet. Ретвітні твіти з’являться тут, як тільки програма отримає сповіщення з Twitter
rate_title	Rate & Review	Скорость и обзор	Nilai & Ulasan	Đánh giá tỉ lệ	Taxa e revisão	Βαθμολογία & κριτική	Rate & Review	Revisión de tasas	Sazba a recenze	Tariffa e revisione	Stawka i przegląd	Tarif et examen	费率和评论	Kiwango na hakiki	दर और समीक्षा	مراجعة معدل	요금 및 검토	レートとレビュー	Цінність та огляд
rate_text	Don't forget to leave us a review on Google Play. Your feedback is highly appreciated	Не забудьте оставить нам обзор в Google Play. Ваш отзыв очень важен	Jangan lupa untuk meninggalkan kami ulasan di Google Play. Umpan balik Anda sangat dihargai	Đừng quên để lại cho chúng tôi một đánh giá về Google Play. phản hồi của bạn được đánh giá cao	Não se esqueça de nos deixar uma revisão no Google Play. Os seus comentários são extremamente apreciados	Μην ξεχάσετε να μας αφήσετε μια κριτική στο Google Play. Τα σχόλιά σας εκτιμώνται ιδιαίτερα	Vergessen Sie nicht, uns eine Bewertung bei Google Play zu hinterlassen. Ihr Feedback wird sehr geschätzt	No olvides dejarnos una reseña en Google Play. Su retroalimentación es muy apreciada	Nezapomeňte nám nechat recenzi na Google Play. Vaše zpětná vazba je vysoce oceněna	Non dimenticare di lasciarci una recensione su Google Play. Il tuo feedback è molto apprezzato	Nie zapomnij zostawić nam recenzji w Google Play. Twoja opinia jest mile widziana	N'oubliez pas de nous laisser une revue sur Google Play. Vos remarques sont très appréciées	别忘了给我们留下有关Google Play的评论。高度赞赏您的反馈	Usisahau kutuacha hakiki kwenye Google Play. Maoni yako yanathaminiwa sana	हमें Google Play पर समीक्षा छोड़ना न भूलें। आपकी प्रतिक्रिया बहुत ही सराहनीय है	لا تنس أن تترك لنا مراجعة على Google Play. ردود الفعل الخاص بك هو في غاية الامتنان	Google Play에 대한 리뷰를 남겨 두는 것을 잊지 마십시오. 귀하의 의견은 높이 평가됩니다	Google Playにレビューを残すことを忘れないでください。あなたのフィードバックは非常に高く評価されています	Не забудьте залишити нам відгук у Google Play. Ваш відгук високо вдячний
post_title	Post Notifications	Публиковать уведомления	Posting pemberitahuan	Thông báo bài	Postar notificações	Δημοσιεύσεις	Postbenachrichtigungen	Publicar notificaciones	Oznámení o příspěvku	Post notifiche	Powiadomienia post	Notifications publiées	邮政通知	Arifa za chapisho	सूचना के बाद	بعد الإخطارات	게시물 알림	通知を投稿します	Повідомлення про розміщення
